player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Xazavian Valladay,Xazavian-Valladay,https://premium.pff.com/api/v1/players?league=ncaa&id=57490,57490,HB,ARIZONA ST,12,215,44,19,41.7,497,0,1192,3,11,44,695,70.6,36,61,110,1,63,86.4,80.4,88.4,,24,65,86.4,60.4,44,1,289,37,295,255,0,0,41,252,16,1192,695,3.23,5.5,0.98,151,649,0,Arizona State,2023
Toa Taua,Toa-Taua,https://premium.pff.com/api/v1/players?league=ncaa&id=83722,83722,HB,NEVADA,12,214,48,12,30.8,283,0,920,4,8,48,586,59.9,27,49,239,0,76,91.2,76.4,58.5,55.4,57.8,67.4,77.7,74.2,40,1,300,42,255,262,0,0,51,256,11,920,586,2.74,4.3,1.18,131,592,0,Nevada,2023
Eric Gray,Eric-Gray,https://premium.pff.com/api/v1/players?league=ncaa&id=99143,99143,HB,OKLAHOMA,12,212,58,21,39.2,539,0,1374,0,11,58,727,96.2,44,78,261,1,112,85.8,90.6,86.4,28.3,27.5,83.2,92.4,40.6,54,1,238,34,230,254,0,0,40,246,11,1374,727,3.43,6.5,1.03,95,538,0,Oklahoma,2023
Will Shipley,Will-Shipley,https://premium.pff.com/api/v1/players?league=ncaa&id=144138,144138,HB,CLEMSON,14,211,49,13,32.7,383,0,1171,2,7,49,712,76.2,37,71,140,4,94,71.3,78.5,87.7,,23.3,67.7,83.2,58.5,53,0,237,37,260,309,0,0,42,248,15,1171,712,3.37,5.5,0.91,109,655,0,Clemson,2025
Sean Tyler,Sean-Tyler,https://premium.pff.com/api/v1/players?league=ncaa&id=97124,97124,HB,W MICHIGAN,12,210,40,16,49.3,504,0,1022,1,2,40,678,61.1,24,41,347,5,86,56.1,71.1,53.5,,71.4,55,71.8,61.1,63,1,111,12,156,254,0,0,18,222,7,1022,678,3.23,4.9,0.71,124,529,2,Minnesota,2024
La'Damian Webb,La'Damian-Webb,https://premium.pff.com/api/v1/players?league=ncaa&id=122423,122423,HB,S ALABAMA,12,209,63,12,30.7,327,0,1065,1,5,63,700,99,26,66,288,1,63,85.7,83.9,86.2,,33.6,68,85.5,58.3,69,0,213,21,176,220,0,0,25,230,13,1065,700,3.35,5.1,1.21,145,452,0,South Alabama,2024
Aidan Robbins,Aidan-Robbins,https://premium.pff.com/api/v1/players?league=ncaa&id=98030,98030,HB,UNLV,11,209,47,12,37.9,385,0,1017,2,1,47,705,69.8,24,47,325,0,82,91.2,75.1,89.2,,36.4,56.9,78.9,66.3,66,0,125,23,269,247,0,0,28,232,9,1017,705,3.37,4.9,0.46,127,587,2,BYU,2024
Titus Swen,Titus-Swen,https://premium.pff.com/api/v1/players?league=ncaa&id=97314,97314,HB,WYOMING,12,207,53,12,32.3,336,1,1039,6,4,53,654,81.5,29,47,351,2,38,77,73.7,50.6,,56.5,36.7,79.1,55,83,1,108,14,169,251,0,0,25,221,8,1039,654,3.16,5,0.64,168,460,1,#N/A,#N/A
Isaiah Bowser,Isaiah-Bowser,https://premium.pff.com/api/v1/players?league=ncaa&id=66123,66123,HB,UCF,14,206,29,5,14,111,0,795,0,2,29,478,32.7,14,61,323,1,86,85.4,71.7,87.4,71.5,36.2,65.4,72.9,59.6,30,0,185,14,214,296,0,0,14,220,16,795,478,2.32,3.9,0.86,118,604,0,UCF,2023
Sean Tucker,Sean-Tucker,https://premium.pff.com/api/v1/players?league=ncaa&id=123056,123056,HB,SYRACUSE,12,204,43,15,36.2,384,0,1062,5,2,43,569,52.1,31,54,304,1,81,86,77.5,88.8,,64.2,56.2,84,51.3,60,0,262,37,297,287,0,0,52,241,11,1062,569,2.79,5.2,0.88,118,634,0,Syracuse,2023
