Team,Conf,Div,Net RP,2021 Off Adjust,2021 Def Adj,RP Offense,Pass Yds,Rec Yds,OL Snaps,Rush Yds,RP Defense,Tackles,Pass Def,Pressure,Stops
Florida,SEC,E,-5,-5.5,0.5,38%,17.23%,37.74%,62.92%,46.63%,65%,65.90%,74.07%,40.21%,59.86%
Georgia,SEC,E,-3.5,1.5,-5,58%,24.05%,87.92%,70.68%,35.23%,40%,40.98%,41.67%,33.79%,37.08%
Kentucky,SEC,E,3.5,3,0.5,67%,100.00%,35.86%,57.71%,95.62%,66%,68.01%,62.86%,65.87%,66.67%
Missouri,SEC,E,-6,-1,-5,49%,100.00%,28.81%,17.96%,25.53%,39%,27.54%,67.74%,20.63%,18.15%
South Carolina,SEC,E,-5,0,-5,54%,75.31%,55.22%,26.10%,50.74%,35%,42.54%,18.00%,41.40%,44.90%
Tennessee,SEC,E,-3,2,-5,60%,88.74%,38.01%,46.34%,87.25%,19%,20.39%,21.57%,12.68%,15.24%
Vanderbilt,SEC,E,-2,3,-5,66%,100.00%,39.67%,52.02%,87.25%,27%,23.31%,33.33%,30.30%,22.46%
Alabama,SEC,W,4,1.5,2.5,58%,99.80%,26.25%,45.87%,58.03%,76%,80.68%,65.85%,81.13%,81.25%
Arkansas,SEC,W,-0.5,2.5,-3,63%,97.97%,29.42%,56.99%,74.27%,50%,53.24%,52.38%,37.36%,47.65%
Auburn,SEC,W,1,3,-2,67%,100.00%,59.92%,28.26%,97.89%,53%,52.72%,45.65%,69.91%,55.78%
LSU,SEC,W,0.5,3,-2.5,66%,65.02%,96.39%,36.35%,44.93%,51%,52.44%,47.22%,59.39%,51.70%
Mississippi State,SEC,W,-4,1,-5,55%,96.32%,46.84%,2.36%,97.32%,27%,24.29%,35.90%,12.05%,23.38%
Ole Miss,SEC,W,-12,-7,-5,33%,5.58%,39.94%,57.50%,38.02%,32%,32.69%,31.37%,30.86%,33.50%
Texas A&M,SEC,W,-0.5,3,-3.5,65%,100.00%,32.04%,65.09%,56.26%,46%,42.39%,60.61%,23.81%,37.28%
Appalachian State,SUN,E,-2,3,-5,65%,95.70%,14.75%,80.79%,90.44%,32%,34.96%,17.95%,49.39%,40.37%
Coastal Carolina,SUN,E,-7.5,-2.5,-5,47%,85.86%,24.39%,26.17%,54.15%,21%,19.66%,20.00%,31.64%,19.80%
Georgia Southern,SUN,E,-3,-0.5,-2.5,52%,71.73%,68.79%,9.40%,47.97%,52%,54.95%,52.94%,37.10%,52.61%
Georgia State,SUN,E,1,3,-2,65%,100.00%,52.22%,44.45%,33.68%,55%,57.45%,51.16%,52.03%,58.11%
Troy,SUN,E,12,7,5,88%,100.00%,84.84%,80.49%,72.56%,89%,85.59%,93.94%,90.43%,85.71%
Arkansas State,SUN,W,-6.5,-5.5,-1,38%,0.00%,83.02%,28.22%,47.44%,59%,52.48%,83.33%,28.48%,45.23%
Louisiana,SUN,W,-8,-4,-4,43%,4.67%,87.14%,29.03%,63.59%,45%,36.32%,70.21%,25.76%,28.02%
South Alabama,SUN,W,2,1.5,0.5,57%,38.53%,50.49%,81.64%,73.22%,66%,66.79%,60.98%,75.65%,70.42%
Texas State,SUN,W,6.5,7,-0.5,92%,100.00%,98.89%,71.06%,96.83%,61%,59.43%,62.50%,59.49%,61.59%
ULM,SUN,W,0,5,-5,79%,92.93%,80.85%,58.77%,86.24%,34%,35.32%,29.17%,47.25%,31.85%
