"","game_id","team","off_plays","def_plays","off_total_ppa","def_total_ppa","off_success_rate","def_success_rate","offPpaPerPlay","defPpaPerPlay","numDrives","avgFieldPosStart","numOpportunities","pointsDuringOpportunities","pointsPerOpportunity","third_down_eff","fourth_down_eff","qb_hurries","tackles_for_loss","interceptions","passes_deflected","fumbles_lost","numPlays","havocPlays","logo","color"
"41",401403974,"Idaho",64,61,-4.71466852205492,5.18223150629841,0.234375,0.491803278688525,-0.0736666956571082,0.084954614857351,13,28.7692307692308,3,10,3.33333333333333,"4-17","3-7",3,4,2,4,0,68,10,NA,NA
"42",401403974,"Washington State",61,64,5.18223150629841,-4.71466852205492,0.491803278688525,0.234375,0.084954614857351,-0.0736666956571082,14,33.7857142857143,7,24,3.42857142857143,"6-13","0-0",4,12,0,3,3,68,18,"http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","#94022a"
"43",401404052,"Kansas",48,67,31.4870559890174,1.05142480270332,0.604166666666667,0.313432835820896,0.655980333104529,0.0156929075030347,11,40.5454545454545,9,42,4.66666666666667,"6-8","0-1",2,12,1,1,2,72,16,"http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","#0022B4"
"44",401404052,"Tennessee Tech",67,48,1.05142480270332,31.4870559890174,0.313432835820896,0.604166666666667,0.0156929075030347,0.655980333104529,14,31.7142857142857,5,10,2,"4-17","1-1",0,2,1,2,0,50,5,NA,NA
"45",401404055,"Murray State",64,63,-5.88955027274369,36.4859292695133,0.140625,0.523809523809524,-0.0920242230116202,0.579141734436718,15,19.3333333333333,3,10,3.33333333333333,"4-18","0-1",1,2,0,2,0,65,4,NA,NA
"46",401404055,"Texas Tech",63,64,36.4859292695133,-5.88955027274369,0.523809523809524,0.140625,0.579141734436718,-0.0920242230116202,15,41,10,63,6.3,"6-10","0-0",1,13,1,3,0,65,17,"http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png","#C80025"
"47",401404056,"Kansas State",61,70,17.6062618922712,-20.7405643021838,0.491803278688525,0.271428571428571,0.288627244135594,-0.296293775745483,12,27.9166666666667,5,27,5.4,"5-14","1-2",1,10,0,2,0,69,12,"http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png","#633194"
"48",401404056,"South Dakota",70,61,-20.7405643021838,17.6062618922712,0.271428571428571,0.491803278688525,-0.296293775745483,0.288627244135594,13,27.3076923076923,3,0,0,"5-16","0-4",0,9,1,0,0,65,10,NA,NA
"49",401404057,"Iowa State",67,60,32.0096881499612,5.84671123459727,0.522388059701492,0.433333333333333,0.47775653955166,0.0974451872432878,11,21.1818181818182,6,42,7,"8-12","1-1",8,3,1,7,0,62,11,"http://a.espncdn.com/i/teamlogos/ncaa/500/66.png","#660015"
"50",401404057,"Southeast Missouri State",60,67,5.84671123459727,32.0096881499612,0.433333333333333,0.522388059701492,0.0974451872432878,0.47775653955166,11,29.3636363636364,4,10,2.5,"5-15","1-2",0,3,1,0,0,67,4,NA,NA
"51",401404059,"Louisiana Monroe",62,57,-7.60442872294494,22.7004804023068,0.306451612903226,0.526315789473684,-0.122652076176531,0.398254042145734,13,29.0769230769231,4,10,2.5,"6-16","0-1",0,5,1,1,0,60,7,"http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png","#231F20"
"52",401404059,"Texas",57,62,22.7004804023068,-7.60442872294494,0.526315789473684,0.306451612903226,0.398254042145734,-0.122652076176531,11,36.6363636363636,7,38,5.42857142857143,"5-13","3-3",1,8,1,2,0,65,11,"http://a.espncdn.com/i/teamlogos/ncaa/500/251.png","#EE7524"
"53",401404124,"Notre Dame",48,69,6.98815592760924,20.3394270208836,0.3125,0.492753623188406,0.145586581825192,0.294774304650487,10,17.8,3,10,3.33333333333333,"3-13","0-0",0,2,0,2,0,70,4,"http://a.espncdn.com/i/teamlogos/ncaa/500/87.png","#00122b"
"54",401404124,"Ohio State",69,48,20.3394270208836,6.98815592760924,0.492753623188406,0.3125,0.294774304650487,0.145586581825192,11,22.7272727272727,5,21,4.2,"7-13","0-0",1,6,0,2,0,49,8,"http://a.espncdn.com/i/teamlogos/ncaa/500/194.png","#DE3121"
"55",401404134,"Army",48,69,21.7070043622529,26.416585441638,0.354166666666667,0.594202898550725,0.452229257546935,0.382849064371565,9,23.4444444444444,4,28,7,"5-12","2-3",0,2,1,0,0,71,3,"http://a.espncdn.com/i/teamlogos/ncaa/500/349.png","#ce9c00"
"56",401404134,"Coastal Carolina",69,48,26.416585441638,21.7070043622529,0.594202898550725,0.354166666666667,0.382849064371565,0.452229257546935,9,32.1111111111111,7,38,5.42857142857143,"4-11","3-3",2,5,0,0,0,47,5,"http://a.espncdn.com/i/teamlogos/ncaa/500/324.png","#007073"
"57",401404146,"Connecticut",69,79,5.21780250652776,21.4009758672637,0.376811594202899,0.468354430379747,0.0756203261815617,0.270898428699541,14,25.7142857142857,6,20,3.33333333333333,"6-15","1-1",0,0,2,2,1,86,5,"http://a.espncdn.com/i/teamlogos/ncaa/500/41.png","#001d40"
