CFBDataID,player,player_id,DraftYear,position,team_name,CFBDTeamNme,PlayerTeamHelper,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
4360163,Austin Aune,83528,2023,QB,N TEXAS,North Texas,Austin AuneNorth Texas,13,63.5,277,295,12,2.57,3,18,5.7,51.2,151,0,95,14.2,325,25,89,251,61,71.2,67.7,66.6,2,9,347,0,12.6,70.3,3.7,12,17,1,12,9,14,4,1988,6.7
4567149,K.J. Jefferson,99129,2023,QB,ARKANSAS,Arkansas,K.J. JeffersonArkansas,13,77.8,284,295,9,2.89,1,17,5.4,66.8,197,0,114,10.9,350,24,118,111,58.8,86.9,79.3,79.7,1,4,369,2,23.7,113.5,7.7,27,26,0,9,21,9,2.4,2666,9
4259553,Stetson Bennett,60387,2022,QB,GEORGIA,Georgia,Stetson BennettGeorgia,14,76.7,258,288,10.3,2.77,7,17,5.5,63.9,184,1,87,7.1,320,14,131,173,62.4,83.8,78.2,78.9,1,7,340,4,14.9,120.2,4.1,13,19,0,22,29,12,3.5,2861,9.9
4426335,Graham Mertz,97994,2024,QB,WISCONSIN,Wisconsin,Graham MertzWisconsin,13,69.3,261,286,9.8,2.64,5,13,4.3,59.1,169,0,92,6.6,308,12,102,349,48.7,65.7,65,56.8,3,11,324,4,12,75.5,3.6,11,11,0,17,10,17,5.2,1958,6.8
4360480,Spencer Petras,82136,2023,QB,IOWA,Iowa,Spencer PetrasIowa,12,67,261,286,8.7,2.7,0,14,4.6,57,163,0,104,6.9,319,12,94,192,71.4,73.9,68.8,79.9,9,9,337,3,24,75.4,7.8,25,5,0,16,10,10,3,1874,6.6
4367178,Dorian Thompson-Robinson,83574,2023,QB,UCLA,UCLA,Dorian Thompson-RobinsonUCLA,11,71.6,264,284,10.6,3.01,3,15,4.9,61.6,175,0,108,7.4,367,14,131,324,63.5,85.2,74.1,85.7,1,6,391,4,20.4,104.3,6,22,58,1,15,21,10,2.6,2390,8.4
4597499,Mikey Keene,70961,2025,QB,UCF,UCF,Mikey KeeneUCF,11,75.5,249,274,8,2.71,5,11,3.9,63.1,173,0,69,8,300,15,81,323,60.6,63.4,64.2,54.2,0,6,309,5,20.3,92.9,4.7,14,11,0,20,17,11,3.6,1750,6.4
4362915,Gerry Bohanon,77636,2023,QB,BAYLOR,Baylor,Gerry BohanonBaylor,12,73.2,250,272,10.9,2.91,7,10,3.6,62.1,169,0,82,7.7,296,14,105,118,60.4,80.3,74.7,76.4,4,7,306,3,9.8,99.1,2.7,8,14,0,11,18,12,3.9,2213,8.1
4430635,Will Plummer,131592,2025,QB,ARIZONA,Arizona,Will PlummerArizona,10,70.8,240,267,9.1,2.89,1,9,3.2,58.4,156,0,111,8.2,321,14,85,109,45.5,64.2,66.2,55.3,5,9,337,3,18.9,69.3,6.5,21,33,0,21,6,10,3,1609,6
4433969,Timmy McClain,144488,2025,QB,USF,South Florida,Timmy McClainSouth Florida,11,65.8,237,264,10.8,3.36,2,9,3.2,54.9,145,0,137,7.1,324,11,96,327,28.7,54.5,56.9,53.1,0,7,342,6,17.5,72.9,7.4,24,35,1,24,5,13,3.8,1885,7.1
4362073,Casey Thompson,77677,2023,QB,TEXAS,Texas,Casey ThompsonTexas,12,72.5,247,264,9.8,2.71,0,15,5.3,62.5,165,0,94,7.8,301,14,104,311,46.1,78.3,76,68.4,6,9,319,3,16,103.6,5,15,22,1,10,24,12,3.8,2110,8
4430431,Kurtis Rourke,97998,2023,QB,OHIO,Ohio,Kurtis RourkeOhio,10,74.4,246,262,8.1,3.06,3,12,4.3,65.3,171,0,97,6.6,302,12,94,259,42.5,77.1,75,66.4,4,7,324,2,18.6,88.1,6,18,22,1,8,11,11,3.4,1810,6.9
4239714,Kyle Vantrease,55029,2022,QB,BUFFALO,Buffalo,Kyle VantreaseBuffalo,10,68.8,250,262,9.6,2.44,2,10,3.4,61.5,161,0,72,6.4,277,11,92,126,53.2,63.2,60,64.8,5,6,306,0,9.7,83.8,2.5,7,7,0,5,8,13,4.2,1876,7.2
4429149,Brendon Lewis,131687,2025,QB,COLORADO,Colorado,Brendon LewisColorado,12,73.7,213,258,6.8,3.19,13,7,2.5,57.8,149,0,135,5.1,315,8,72,143,73.6,69.7,64.8,69.7,1,3,338,3,23,83.2,9.8,31,25,0,31,10,6,1.8,1540,6
4242490,Braxton Burmeister,60513,2023,QB,VA TECH,Virginia Tech,Braxton BurmeisterVirginia Tech,12,65.4,231,255,11,3.02,2,11,4.1,55.7,142,0,109,6,330,9,107,337,74.1,78.1,70.2,75.3,1,4,342,0,23.9,92.3,7.9,26,49,0,21,14,6,1.8,1960,7.7
4240756,Tanner Morgan,55239,2022,QB,MINNESOTA,Minnesota,Tanner MorganMinnesota,13,67.6,241,254,11.7,2.83,4,13,4.7,59.1,150,0,84,8,300,13,96,225,54,73.8,75.7,51.7,2,9,322,1,27.4,83.2,7.7,23,23,4,3,10,13,4,2047,8.1
4427191,Dequan Finn,97804,2024,QB,TOLEDO,Toledo,Dequan FinnToledo,13,67.2,238,253,11.1,2.91,2,12,4.3,57.3,145,0,115,9.4,305,15,86,316,59.7,72.6,64.4,76.9,3,2,328,3,22.6,104.5,8.5,26,24,1,9,18,11,3.4,2081,8.2
4430775,Hayden Wolff,98362,2024,QB,DOMINION,Old Dominion,Hayden WolffOld Dominion,10,73.3,243,252,9.6,2.38,4,19,7.3,63.1,159,0,53,10.7,266,19,79,263,76.9,78,76.6,56.5,2,7,276,1,24.5,88.2,4.9,13,1,0,3,10,10,3.6,1928,7.7
4035225,Nick Starkel,40326,2022,QB,S JOSE ST,San José State,Nick StarkelSan José State,7,63.1,233,249,9.5,2.38,4,15,5.7,51.4,128,0,78,12.9,261,19,73,285,50.6,64.7,63.6,65.4,1,7,277,2,14.1,72.9,4.2,11,0,0,11,9,11,4,1650,6.6
4037642,Austin Kendall,40056,2022,QB,LA TECH,Louisiana Tech,Austin KendallLouisiana Tech,7,69.1,233,247,8.7,2.73,2,11,4.2,60.3,149,0,99,7.5,290,12,93,208,69.9,70.3,69.9,59.9,2,9,307,2,17.2,86.4,5.9,17,26,0,10,13,12,3.9,1880,7.6
4371730,Brady McBride,77641,2024,QB,TEXAS ST,Texas State,Brady McBrideTexas State,7,70,220,243,10,3.06,2,14,5.3,60.1,146,0,106,5.2,296,8,89,314,51,64.4,64.5,57.5,5,10,318,2,21.7,77.7,7.8,23,29,0,16,12,13,4.1,1530,6.3
4427936,Grayson McCall,98002,2023,QB,COAST CAR,Coastal Carolina,Grayson McCallCoastal Carolina,11,80.5,236,242,10.3,2.64,1,17,6.7,72.7,176,0,70,7.4,294,14,134,141,26.9,91,93.2,53.3,2,3,305,3,25.7,144.1,6.1,18,31,1,2,27,8,2.6,2867,11.8
4363410,Dylan Hopkins,83571,2022,QB,UAB,UAB,Dylan HopkinsUAB,13,74.8,222,235,10.1,2.78,3,16,6.5,65.5,154,1,99,7.2,293,12,91,321,64.2,74.7,74.1,63.9,3,7,306,2,31.3,109.7,10.6,31,27,1,6,18,14,4.6,2250,9.6
4036419,Skylar Thompson,60417,2022,QB,KANSAS ST,Kansas State,Skylar ThompsonKansas State,10,77.3,225,235,9,3.19,0,13,5.2,68.9,162,0,94,6.9,266,12,97,199,69.1,83.2,81.2,67.9,3,4,281,3,19.1,106.9,6.8,18,13,0,7,12,12,4.3,2113,9
4426966,Garrett Shrader,98212,2024,QB,SYRACUSE,Syracuse,Garrett ShraderSyracuse,12,62.6,219,235,10.5,2.89,2,9,3.6,52.3,123,0,135,10.2,308,14,83,304,74.2,73.9,54.4,87.3,6,4,326,2,24.4,76.9,10.7,33,40,0,8,9,12,3.7,1439,6.1
4369448,Darren Grainger,78496,2023,QB,GA STATE,Georgia State,Darren GraingerGeorgia State,12,68.1,216,229,12.1,2.52,5,19,7.8,59.4,136,0,93,7.5,274,11,90,175,63.3,82,78.5,70.6,6,4,289,1,19.4,103.2,6.6,18,25,0,2,19,7,2.4,1718,7.5
4362140,Steven Krajewski,77650,2023,QB,UCONN,Connecticut,Steven KrajewskiConnecticut,9,65.2,201,229,8.3,2.41,5,10,4.1,52,119,0,89,9.2,260,12,53,146,62.4,54.8,48.6,71.3,11,10,279,1,18,59.6,6.2,16,10,0,12,7,12,4.3,1220,5.3
4427105,Max Duggan,99470,2023,QB,TCU,TCU,Max DugganTCU,10,72.2,216,228,12,3.18,3,16,6.8,63.6,145,0,93,7.1,282,11,100,305,50.3,76.3,74.1,66.9,2,6,293,2,21.5,104.8,7.1,20,34,0,7,16,14,4.8,2040,8.9
4683451,Cameron Friel,146195,2025,QB,UNLV,UNLV,Cameron FrielUNLV,9,72.5,211,227,8.2,2.72,6,3,1.3,62.1,141,0,99,7.8,265,12,72,325,39.8,56.7,59.9,41.5,3,11,276,2,25.3,72,9.4,25,12,1,6,6,17,6.2,1608,7.1
4362723,Gunnar Watson,83570,2024,QB,TROY,Troy,Gunnar WatsonTroy,8,76.2,206,227,6.2,2.57,2,11,4.7,61.7,140,0,77,10.8,247,17,68,318,36.2,74.8,73.1,63.5,10,4,256,1,23.4,87.5,7.3,18,1,0,9,8,7,2.7,1611,7.1
4431375,Ken Seals,124359,2023,QB,VANDERBILT,Vanderbilt,Ken SealsVanderbilt,8,67,206,225,7.8,2.42,1,6,2.6,56.9,128,0,78,7.2,243,10,62,333,59,54.9,50.5,71.6,3,8,253,2,17.9,64.1,5.8,14,4,0,15,5,11,4.3,1187,5.3
4037293,Lucas Johnson,40551,2022,QB,S DIEGO ST,San Diego State,Lucas JohnsonSan Diego State,12,69.7,208,224,9.1,2.55,4,10,4.3,61.6,138,0,58,4.8,249,7,79,284,53.4,71.7,67,72.4,3,4,262,2,22.4,90.3,5.2,13,12,2,7,12,13,5,1420,6.3
4683471,Brady Olson,147415,2025,QB,UMASS,UMass,Brady OlsonUMass,8,55.9,195,216,9.2,2.36,5,4,1.8,47.7,103,0,67,5.5,236,6,58,216,31.7,36.8,34.5,56.7,2,7,249,2,11.9,62.8,3.4,8,10,0,14,8,17,6.8,1146,5.3
4431611,Caleb Williams,144622,2025,QB,OKLAHOMA,Oklahoma,Caleb WilliamsOklahoma,10,73.4,203,212,11.8,3.51,0,15,6.6,64.2,136,0,96,8.7,251,13,93,261,40.5,91.3,90.3,75.5,1,4,268,1,19.8,118.3,7.6,19,19,0,8,21,7,2.6,1912,9
4048232,Jake Constantine,40166,2022,QB,RICE,Rice,Jake ConstantineRice,8,67.7,198,207,9.7,2.59,3,8,3.6,60.9,126,0,70,6,233,8,81,275,63.5,65.2,65.7,57.7,0,7,249,3,18.6,84.1,5.6,13,12,1,5,8,8,3.2,1616,7.8
4360799,Jordan Travis,77615,2023,QB,FLORIDA ST,Florida State,Jordan TravisFlorida State,10,71.8,177,193,10,3.25,3,11,5.2,62.7,121,0,108,4.7,271,6,90,167,51.7,85.2,82.3,72.6,3,6,290,2,23.1,100.1,9.2,25,51,0,10,15,6,2.1,1521,7.9
