"Sportsbook","Team","Odds","Date"
"Draftkings","Florida State","+25000","2022-09-01"
"Draftkings","BYU","+25000","2022-09-01"
"Draftkings","Kansas State","+25000","2022-09-01"
"Draftkings","Washington","+25000","2022-09-01"
"Draftkings","TCU","+25000","2022-09-01"
"Draftkings","Houston","+25000","2022-09-01"
"Draftkings","Purdue","+25000","2022-09-01"
"Draftkings","Mississippi State","+25000","2022-09-01"
"Draftkings","South Carolina","+25000","2022-09-01"
"Draftkings","Louisville","+25000","2022-09-01"
"Draftkings","Arizona State","+30000","2022-09-01"
"Draftkings","West Virginia","+30000","2022-09-01"
"Draftkings","Wake Forest","+30000","2022-09-01"
"Draftkings","UCF","+30000","2022-09-01"
"Draftkings","Maryland","+30000","2022-09-01"
"Draftkings","Virginia","+35000","2022-09-01"
"Draftkings","Oregon State","+35000","2022-09-01"
"Draftkings","Nebraska","+35000","2022-09-01"
"Draftkings","Virginia Tech","+40000","2022-09-01"
"Draftkings","Boston College","+40000","2022-09-01"
"Draftkings","Washington State","+40000","2022-09-01"
"Draftkings","Boise State","+40000","2022-09-01"
"Draftkings","Fresno State","+40000","2022-09-01"
"Draftkings","Texas Tech","+50000","2022-09-01"
"Draftkings","California","+50000","2022-09-01"
"Draftkings","Missouri","+50000","2022-09-01"
"Draftkings","Illinois","+50000","2022-09-01"
"Draftkings","Northwestern","+50000","2022-09-01"
"Draftkings","Air Force","+60000","2022-09-01"
"Draftkings","Stanford","+60000","2022-09-01"
"Draftkings","San Diego State","+60000","2022-09-01"
"Draftkings","SMU","+60000","2022-09-01"
"Draftkings","Appalachian State","+80000","2022-09-01"
"Draftkings","UTSA","+80000","2022-09-01"
"Draftkings","Louisiana-Lafayette","+80000","2022-09-01"
"Draftkings","Utah State","+80000","2022-09-01"
"Draftkings","Army West Point","+80000","2022-09-01"
"Draftkings","Syracuse","+80000","2022-09-01"
"Draftkings","Memphis","+80000","2022-09-01"
"Draftkings","Indiana","+80000","2022-09-01"
"Draftkings","Colorado","+100000","2022-09-01"
"Draftkings","Arizona","+100000","2022-09-01"
"Draftkings","UAB","+100000","2022-09-01"
"Draftkings","Central Michigan","+100000","2022-09-01"
"Draftkings","Coastal Carolina","+100000","2022-09-01"
"Draftkings","Western Kentucky","+100000","2022-09-01"
"Draftkings","Tulsa","+100000","2022-09-01"
"Draftkings","Georgia Tech","+100000","2022-09-01"
"Draftkings","Toledo","+100000","2022-09-01"
"Draftkings","Tulane","+100000","2022-09-01"
"Draftkings","Marshall","+150000","2022-09-01"
"Draftkings","Miami OH","+150000","2022-09-01"
"Draftkings","East Carolina","+150000","2022-09-01"
"Draftkings","Northern Illinois","+150000","2022-09-01"
"Draftkings","Colorado State","+200000","2022-09-01"
"Draftkings","Navy","+200000","2022-09-01"
"Draftkings","San Jose State","+200000","2022-09-01"
"Draftkings","Duke","+200000","2022-09-01"
"Draftkings","Troy","+200000","2022-09-01"
"Draftkings","Liberty","+200000","2022-09-01"
"Draftkings","Georgia State","+200000","2022-09-01"
"Draftkings","Kansas","+200000","2022-09-01"
"Draftkings","North Texas","+200000","2022-09-01"
"Draftkings","Florida Atlantic","+200000","2022-09-01"
"Draftkings","Vanderbilt","+200000","2022-09-01"
"Draftkings","Old Dominion","+200000","2022-09-01"
"Draftkings","South Florida","+200000","2022-09-01"
"Draftkings","Western Michigan","+200000","2022-09-01"
"Draftkings","Southern Mississippi","+300000","2022-09-01"
"Draftkings","Ball State","+300000","2022-09-01"
"Draftkings","UNLV","+300000","2022-09-01"
"Draftkings","Eastern Michigan","+300000","2022-09-01"
"Draftkings","UTEP","+300000","2022-09-01"
"Draftkings","Nevada","+300000","2022-09-01"
"Draftkings","Middle Tennessee","+300000","2022-09-01"
"Draftkings","South Alabama","+300000","2022-09-01"
"Draftkings","Temple","+500000","2022-09-01"
"Draftkings","Hawaii","+500000","2022-09-01"
"Draftkings","Louisiana Tech","+500000","2022-09-01"
"Draftkings","Bowling Green","+500000","2022-09-01"
"Draftkings","Wyoming","+500000","2022-09-01"
"Draftkings","Rice","+500000","2022-09-01"
"Draftkings","Buffalo","+500000","2022-09-01"
"Draftkings","Ohio","+500000","2022-09-01"
"Draftkings","Arkansas State","+500000","2022-09-01"
"Draftkings","New Mexico","+500000","2022-09-01"
"Draftkings","Georgia Southern","+500000","2022-09-01"
"Draftkings","Kent State","+500000","2022-09-01"
"Draftkings","Texas State","+500000","2022-09-01"
"Draftkings","ULM","+1000000","2022-09-01"
"Draftkings","Akron","+1000000","2022-09-01"
"Draftkings","New Mexico State","+1000000","2022-09-01"
"Draftkings","FIU","+1000000","2022-09-01"
"Draftkings","Massachusetts","+1000000","2022-09-01"
"Fanduel","Alabama","+180","2022-09-01"
"Fanduel","Ohio State","+300","2022-09-01"
"Fanduel","Georgia","+350","2022-09-01"
"Fanduel","Clemson","+800","2022-09-01"
"Fanduel","USC","+2000","2022-09-01"
"Fanduel","Texas A&M","+2500","2022-09-01"
"Fanduel","Oklahoma","+5000","2022-09-01"
"Fanduel","Michigan","+5000","2022-09-01"
"Fanduel","Notre Dame","+6000","2022-09-01"
"Fanduel","Utah","+6500","2022-09-01"
"Fanduel","Texas","+8000","2022-09-01"
"Fanduel","Tennessee","+10000","2022-09-01"
"Fanduel","Miami Florida","+10000","2022-09-01"
"Fanduel","LSU","+10000","2022-09-01"
"Fanduel","Oklahoma State","+10000","2022-09-01"
"Fanduel","Wisconsin","+10000","2022-09-01"
"Fanduel","Penn State","+10000","2022-09-01"
"Fanduel","Oregon","+12000","2022-09-01"
"Fanduel","Florida","+12000","2022-09-01"
"Fanduel","Kentucky","+15000","2022-09-01"
"Fanduel","Arkansas","+15000","2022-09-01"
"Fanduel","NC State","+15000","2022-09-01"
"Fanduel","Mississippi","+15000","2022-09-01"
"Fanduel","Baylor","+15000","2022-09-01"
"Fanduel","South Carolina","+20000","2022-09-01"
"Fanduel","Iowa","+20000","2022-09-01"
"Fanduel","North Carolina","+20000","2022-09-01"
"Fanduel","Michigan State","+20000","2022-09-01"
"Fanduel","Wake Forest","+20000","2022-09-01"
"Fanduel","UCLA","+20000","2022-09-01"
"Fanduel","Auburn","+20000","2022-09-01"
"Fanduel","Mississippi State","+20000","2022-09-01"
"Fanduel","Washington","+20000","2022-09-01"
"Fanduel","Boston College","+25000","2022-09-01"
"Fanduel","West Virginia","+25000","2022-09-01"
"Fanduel","Iowa State","+25000","2022-09-01"
"Fanduel","Purdue","+25000","2022-09-01"
"Fanduel","Louisville","+25000","2022-09-01"
"Fanduel","Florida State","+25000","2022-09-01"
"Fanduel","TCU","+25000","2022-09-01"
"Fanduel","Cincinnati","+25000","2022-09-01"
"Fanduel","UCF","+25000","2022-09-01"
"Fanduel","Minnesota","+25000","2022-09-01"
"Fanduel","Pittsburgh","+25000","2022-09-01"
"Fanduel","California","+25000","2022-09-01"
"Fanduel","Arizona State","+30000","2022-09-01"
"Fanduel","Houston","+30000","2022-09-01"
"Fanduel","Virginia Tech","+30000","2022-09-01"
"Fanduel","Oregon State","+30000","2022-09-01"
