"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"1055",401424955,2022,4,"Jackson State","Mississippi Valley State",49,7,"Mississippi Valley State @ Jackson State","Jackson State -40","52"
"1056",401418604,2022,4,"Sacred Heart","Dartmouth",38,31,"Dartmouth @ Sacred Heart",NA,NA
"1057",401415405,2022,4,"Cornell","Yale",14,38,"Yale @ Cornell","Yale -9","52"
"1058",401424428,2022,4,"Richmond","Stony Brook",51,7,"Stony Brook @ Richmond","Richmond -14.5","47.5"
"1059",401420790,2022,4,"Norfolk State","St Francis (PA)",26,45,"St Francis (PA) @ Norfolk State","St Francis (PA) -9.5","47"
"1060",401420828,2022,4,"South Dakota","North Dakota State",17,34,"North Dakota State @ South Dakota","North Dakota State -16.5","47.5"
"1061",401423153,2022,4,"Drake","Marist",25,30,"Marist @ Drake","Drake -7","42"
"1062",401428485,2022,4,"St. Thomas (MN)","Lincoln University (CA)",43,6,"Lincoln University (CA) @ St. Thomas (MN)",NA,NA
"1063",401435075,2022,4,"Delaware State","Merrimack",13,26,"Merrimack @ Delaware State","Merrimack -6","45.5"
"1064",401424937,2022,4,"Bethune-Cookman","Grambling",36,19,"Grambling @ Bethune-Cookman","Bethune-Cookman -2.5","56.5"
"1065",401432406,2022,4,"Sioux Falls","Minnesota-Duluth",34,31,"Minnesota-Duluth @ Sioux Falls",NA,NA
"1066",401403998,2022,4,"Colorado","UCLA",17,45,"UCLA @ Colorado","UCLA -22.5","57.0"
"1067",401430953,2022,4,"Coe","Simpson College",48,10,"Simpson College @ Coe",NA,NA
"1068",401430988,2022,4,"Huntingdon","Belhaven College",34,21,"Belhaven College @ Huntingdon",NA,NA
"1069",401430999,2022,4,"Howard Payne","East Texas Baptist",33,21,"East Texas Baptist @ Howard Payne",NA,NA
"1070",401431079,2022,4,"North Central","Elmhurst",76,6,"Elmhurst @ North Central",NA,NA
"1071",401431303,2022,4,"St. Norbert","Lakeland University",35,12,"Lakeland University @ St. Norbert",NA,NA
"1072",401432625,2022,4,"Wabash College","Denison",42,45,"Denison @ Wabash College",NA,NA
"1073",401432539,2022,4,"Illinois Wesleyan","Carroll (WI)",26,21,"Carroll (WI) @ Illinois Wesleyan",NA,NA
"1074",401431312,2022,4,"Rockford","Aurora",7,70,"Aurora @ Rockford",NA,NA
"1075",401431320,2022,4,"Concordia (WI)","Concordia (IL)",35,7,"Concordia (IL) @ Concordia (WI)",NA,NA
"1076",401431188,2022,4,"Wisconsin-Eau Claire","Albion",20,28,"Albion @ Wisconsin-Eau Claire",NA,NA
"1077",401431212,2022,4,"Greenville","Olivet College",7,63,"Olivet College @ Greenville",NA,NA
"1078",401430924,2022,4,"Luther","Buena Vista",49,52,"Buena Vista @ Luther",NA,NA
"1079",401431096,2022,4,"Millikin","North Park",23,21,"North Park @ Millikin",NA,NA
"1080",401431235,2022,4,"Concordia (MN)","Gustavus Adolphus",6,23,"Gustavus Adolphus @ Concordia (MN)",NA,NA
"1081",401431248,2022,4,"Bethel (MN)","St. Johns (MN)",28,24,"St. Johns (MN) @ Bethel (MN)",NA,NA
