season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2022,Nate,Thompson,S,Duke,,2022-01-09T05:05:00.000Z,,3,Immediate
2022,Peter,Montini,LB,Nevada,Colorado State,2021-12-15T18:57:00.000Z,0.81,3,Immediate
2022,Jamious,Griffin,RB,Georgia Tech,Georgia Tech,2021-12-07T13:57:00.000Z,0.8,3,Immediate
2022,Dan,Villari,QB,Michigan,Syracuse,2022-01-06T09:05:00.000Z,,3,Immediate
2022,Carson,Baker,QB,Western Kentucky,,2021-10-26T12:33:00.000Z,0.79,2,Immediate
2022,Terion,Sugick,DL,Vanderbilt,Arkansas State,2021-11-30T08:38:00.000Z,,3,Immediate
2022,Solomon,Wright,DL,Arkansas,,2021-11-30T08:37:00.000Z,,3,Immediate
2022,Cameron,Ward,QB,Incarnate Word,Washington State,2021-12-10T19:00:00.000Z,0.93,4,Immediate
2022,Taylor,Behl,LB,Louisiana Monroe,,2021-11-30T08:17:00.000Z,0.8,3,Immediate
2022,Tanner,Luther,K,Eastern Michigan,,2022-01-12T11:44:00.000Z,,2,Immediate
2022,Wyatt,Blake,OT,Northwestern,,2021-11-29T15:41:00.000Z,0.8,3,Immediate
2022,Ishmael,Burdine,S,Missouri,TCU,2021-11-29T15:37:00.000Z,0.81,3,Immediate
2022,Javione,Carr,CB,Arizona,,2021-11-29T14:58:00.000Z,0.82,3,Immediate
2022,Michael,Pleas,S,Southern Mississippi,Jackson State,2021-11-29T14:41:00.000Z,0.81,3,Immediate
2022,Herman,McCray,TE,Georgia State,,2021-11-29T14:39:00.000Z,,2,Immediate
2022,Camron,Buckley,WR,Indiana,Jackson State,2021-11-29T14:37:00.000Z,0.82,3,Immediate
2022,Tate,Heitmeier,IOL,Texas State,,2021-11-29T14:23:00.000Z,0.82,3,Immediate
2022,Rowan,McGwin,OT,Buffalo,,2021-11-29T13:17:00.000Z,0.79,2,Immediate
2022,Desmyn,Baker,LB,Rice,Western Kentucky,2021-11-29T12:38:00.000Z,0.81,3,Immediate
2022,George,Johnson III,CB,Michigan,UMass,2022-01-06T09:04:00.000Z,0.85,3,Immediate
2022,Angel,King,ATH,Nevada,,2021-12-10T14:54:00.000Z,,2,Immediate
2022,Teivis,Tuioti,DL,Nevada,,2021-12-08T14:54:00.000Z,,3,Immediate
2022,Connor,Helsius,LB,UTEP,,2021-12-08T14:54:00.000Z,,2,Immediate
